title,meta_info,time,viewed_number,url
QuickRes 4.4.3,Quickly switch resolutions on your Retina display,2018-01-17,325,https://nmac.to/download/aHR0cHM6Ly9zZW5kaXQuY2xvdWQvYWhyeWM3aG9iY2J4L25tYWMudG9fcXJlczQ0My56aXA=
SpotFiles 3.0.15,Find files without Spotlight,2018-01-17,320,https://nmac.to/download/aHR0cHM6Ly9zZW5kaXQuY2xvdWQvNWFvOHhqMTRqMnV5L25tYWMudG9fc3BmMzAxNS56aXA=
iSnapshot 3.1.0,Screenshots with various options,2018-01-17,320,https://nmac.to/download/aHR0cHM6Ly9zZW5kaXQuY2xvdWQvOHMyaDduc3E0MXcxL25tYWMudG9faXNuYXAzMTAuemlw
ZOC Terminal 7.17.2,Telnet/SSH/SSH2 client and terminal emulator,2018-01-17,315,https://nmac.to/download/aHR0cHM6Ly9zZW5kaXQuY2xvdWQvaHJ2OXdwZHA5cXk1L25tYWMudG9fem9jdDcxNzIuemlw
iNotepad 3.4,Write and perfectly organize all your texts and notes,2018-01-17,335,https://nmac.to/download/aHR0cHM6Ly9zZW5kaXQuY2xvdWQvMXBwODQwOTloaG1jL25tYWMudG9faW5wYWQzNC56aXA=
Tomates Time Management 7.0.4,Effective work and rest management,2018-01-17,334,https://nmac.to/download/aHR0cHM6Ly9zZW5kaXQuY2xvdWQvbWIxbWg5dXg3cHVuL25tYWMudG9fdG9tYTcwNC56aXA=
X Word 1.4.1,Basic-but-powerful word processor,2018-01-17,346,https://nmac.to/download/aHR0cHM6Ly9zZW5kaXQuY2xvdWQvazNzam9wMnZpN3FhL25tYWMudG9feHdvcjE0MS56aXA=
Easy Similar Image Finder 1.0,Search duplicate and similar image,2018-01-17,337,https://nmac.to/download/aHR0cHM6Ly9zZW5kaXQuY2xvdWQvemV5bzRycGk3NGdkL25tYWMudG9fZXNpZmluMTAuemlw
Flashcard Hero 2.7.2,Elegant yet versatile study aid,2018-01-17,346,https://nmac.to/download/aHR0cHM6Ly9zZW5kaXQuY2xvdWQvc3M3Y3Q1bmJnb2lpL25tYWMudG9fZmNoZXJvMjcyLnppcA==
Focus Timer 2.8,Focus mind on work,2018-01-17,431,https://nmac.to/download/aHR0cHM6Ly9zZW5kaXQuY2xvdWQvY2RiN3lxamNvbjZoL25tYWMudG9fZnRpbTI4LnppcA==
